File,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,%GC
1306-DS_S5_L001_R2_001,13739414,2047172686,149.00,149,149,149,0.00,149,149,0.41
File,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,%GC
302-FLL_S2_L001_R1_001,14069385,2096338365,149.00,149,149,149,0.00,149,149,0.43
File,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,%GC
297-CGG_S1_L001_R1_001,13980453,2083087497,149.00,149,149,149,0.00,149,149,0.41
File,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,%GC
1556-ZM_S6_L001_R1_001,13029007,1941322043,149.00,149,149,149,0.00,149,149,0.41
File,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,%GC
297-CGG_S1_L001_R2_001,13980453,2083087497,149.00,149,149,149,0.00,149,149,0.41
File,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,%GC
302-FLL_S2_L001_R2_001,14069385,2096338365,149.00,149,149,149,0.00,149,149,0.43
File,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,%GC
1556-ZM_S6_L001_R2_001,13029007,1941322043,149.00,149,149,149,0.00,149,149,0.41
File,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,%GC
1306-DS_S5_L001_R1_001,13739414,2047172686,149.00,149,149,149,0.00,149,149,0.41
File,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,%GC
811-ND_S4_L001_R2_001,14963783,2229603667,149.00,149,149,149,0.00,149,149,0.40
